Unnamed: 0,Trek,Cost,Time,Trip Grade,Max Altitude,Accomodation,Best Travel Time,Date of Travel,Sex,Age,Employment Type,GraduateOrNot,AnnualIncome,FrequentFlyer,Year,Regional code,Country,Fitness Level,Weather Conditions,Trekking Group Size,Guide/No Guide,Equipment Used,Purpose of Travel,Health Incidents,Review/Satisfaction
189,Annapurna Circuit Trek  ," $1,499   USD", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/2/2020,Non-Binary,26,Private Sector/Self Employed,Yes,1400000,No,2017,8180,Egypt,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
190,Everest Base Camp Luxury Lodge Trek  ," $1,499   USD", 15 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/12/2020,Female,27,Government Sector,Yes,900000,No,2017,8260,British,,,,,,,,
191,Everest Base Camp Trek via Gokyo Lakes and Cho La Pass  ," $1,499   USD", 18 days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/31/2020,Transgender,30,Private Sector/Self Employed,No,650000,No,2017,8340,Tanzania,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
192,Upper Mustang Trek  ," $1,499   USD", 17 Days,Moderate+Demanding,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/12/2023,Non-Binary,28,Private Sector/Self Employed,Yes,800000,No,2017,8400,united states of america,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
193,Everest Advanced Base Camp Trek from Tibet  ," $1,499   USD", 18 Days,Moderate+Demanding,"6,340m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/13/2020,Male,34,Private Sector/Self Employed,No,1300000,No,2017,8540,Burkina Faso,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
194,Gokyo Lakes and Gokyo Ri Trek  ," $1,499   USD", 14 Days,Moderate+Demanding,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/4/2023,Non-Binary,33,Government Sector,Yes,1100000,No,2017,8580,Uruguay,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
195,Mardi Himal Trek  ," $1,499   USD", 10 Days,Moderate,"3,540m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/27/2021,Transgender,25,Private Sector/Self Employed,Yes,1400000,Yes,2017,8600,Uzbekistan,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
196,Manaslu Circuit Trek  ," $1,499   USD", 18 Days,Demanding,"5,160m",Hotel/Guesthouse,Jan - May & Sept - Dec,10/5/2020,Non-Binary,34,Private Sector/Self Employed,Yes,1000000,No,2017,8620,Venezuela,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
197,Langtang Valley Trek  ," $1,499   USD", 11 Days,Moderate+Demanding,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/11/2022,Transgender,29,Private Sector/Self Employed,Yes,1150000,Yes,2017,8820,Samoa Independent State,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
198,Annapurna Sanctuary Trek  ," $1,499   USD", 14 Days,Moderate+Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,2/10/2020,Transgender,25,Private Sector/Self Employed,No,1350000,No,2017,8870,Yemen,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
199,Rara Lake Trek  ," $1,499   USD", 15 Days,Moderate,"3,055m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/3/2020,Female,30,Private Sector/Self Employed,No,1450000,Yes,2017,8940,Zambia,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
200,Everest High Passes Trek  ," $1,499   USD", 20 Days,Demanding,"5,546m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/15/2022,Male,27,Government Sector,Yes,1050000,No,2017,9010,Kosovo,,,,,,,,
201,Kanchenjunga Circuit Trek  ," $1,499   USD", 25 Days,Demanding,"5,143m",Hotel/Guesthouse,Jan - May & Sept - Dec,10/10/2022,Male,31,Private Sector/Self Employed,Yes,1400000,No,2017,9990,others,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
202,Everest View Trek  ," $1,499   USD", 12 Days,Light+Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/7/2023,Female,28,Private Sector/Self Employed,Yes,600000,No,2016,0,total,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
203,Tsum Valley Trek  ," $1,499   USD", 19 Days,Demanding,"6,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,2/5/2022,Non-Binary,28,Private Sector/Self Employed,Yes,1100000,No,2016,40,Afghanistan,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
204,The Royal Trek  ," $1,499   USD", 9 Days,Moderate,"1,730m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/18/2020,Non-Binary,32,Government Sector,Yes,900000,Yes,2016,80,Albania,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
205,Makalu Base Camp Trek  ," $1,499   USD", 22 Days,Demanding+Challenging,"4,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/11/2022,Male,29,Private Sector/Self Employed,Yes,1150000,No,2016,120,Algeria,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
206,"Langtang, Gosainkunda and Helambu Trek  "," $1,499   USD", 17 Days,Moderate,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/3/2021,Female,25,Private Sector/Self Employed,No,1150000,No,2016,200,Andra,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
207,Nar Phu Valley Trek  ," $1,499   USD", 19 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/21/2022,Transgender,31,Government Sector,No,350000,No,2016,240,Angola,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
208,Annapurna Circle Trek  ," $1,499   USD", 14 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/16/2022,Transgender,29,Private Sector/Self Employed,Yes,1350000,No,2016,280,Antigua Berbuda,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
209,Everest Kangshung Face Trek  ," $1,499   USD", 21 Days,Demanding+Challenging,"5,320m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/31/2020,Non-Binary,25,Private Sector/Self Employed,No,1700000,Yes,2016,310,Azerbaijan,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
210,Tsum Valley and Manaslu Trek  ," $1,499   USD", 27 Days,Demanding,"4,460m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/23/2022,Male,28,Private Sector/Self Employed,Yes,1200000,Yes,2016,320,Argentina,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
211,Khopra Ridge Community Trek  ," $1,499   USD", 13 Days,Moderate+Demanding,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/26/2022,Male,27,Private Sector/Self Employed,No,450000,No,2016,360,Australia,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
212,Nepal Experience Tour  ," $1,499   USD", 12 Days,Light,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/17/2022,Transgender,28,Private Sector/Self Employed,Yes,750000,No,2016,400,Austria,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
213,Annapurna Circuit Trek with Tilicho Lake and Poon Hill  ," $1,499   USD", 20 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/20/2020,Transgender,26,Private Sector/Self Employed,Yes,1400000,Yes,2016,440,Bahamas,,,,,,,,
214,Annapurna With Tilicho Lake Trek  ," $1,499   USD", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/22/2022,Female,27,Government Sector,Yes,850000,No,2016,480,Barrane,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
215,Langtang Valley Trek with Ganja la Pass  ," $1,499   USD", 14 Days,Demanding+Challenging,"5,122m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/15/2022,Male,33,Government Sector,Yes,1100000,No,2016,500,Bangladesh,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
216,Tamang Heritage Trek  ," $1,499   USD", 14 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/9/2020,Male,34,Private Sector/Self Employed,Yes,1050000,No,2016,510,Armenia,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
217,Manaslu and Annapurna Trek with Tilicho Lake  ," $1,499   USD", 25 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/5/2022,Non-Binary,28,Private Sector/Self Employed,Yes,800000,No,2016,520,Barbados,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
218,Nepal Trekking and Everest Himalaya Heli Tour  ," $1,499   USD", 7 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/13/2022,Male,26,Private Sector/Self Employed,Yes,1500000,Yes,2016,560,Belgium,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
219,Nepal Hiking and Culture Tour  ," $1,499   USD", 8 Days,Moderate,"1,550m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/27/2023,Female,31,Private Sector/Self Employed,Yes,1250000,No,2016,640,Bhutan,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
220,Annapurna Sunrise and Everest View Trek  ," $1,499   USD", 17 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,2/1/2022,Female,35,Private Sector/Self Employed,No,800000,No,2016,680,Bolivia,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
221,Tenzing Hillary Everest Marathon  ," $1,499   USD", 20 Days,Demanding+Challenging,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,10/21/2022,Transgender,28,Private Sector/Self Employed,Yes,1200000,No,2016,700,Bosnia Herzegovna,,,,,,,,
222,Everest Base Camp Trek,$1450   USD,16 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/7/2023,Non-Binary,28,Private Sector/Self Employed,Yes,1200000,No,2016,720,Botwana,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
223,Everest Kalapathar Trekking,$1390   USD,15 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/25/2020,Transgender,30,Private Sector/Self Employed,No,650000,No,2016,760,Brazil,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
224,Everest Panorama Trek,$1040   USD,10 Days,Easy-Moderate,"3,860m",Hotel/Guesthouse,Jan - May & Sept - Dec,2/21/2022,Male,31,Private Sector/Self Employed,Yes,1100000,Yes,2016,840,Belize,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
225,Everest Base Camp Trek via Gokyo Lake,$1530   USD,19 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/4/2022,Female,31,Private Sector/Self Employed,Yes,1250000,No,2016,900,Solomon,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
226,Gokyo Lake Trek,$1190   USD,13 Days,Moderate,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/13/2020,Male,34,Government Sector,Yes,1300000,No,2016,960,Brunei,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
227,Everest Base Camp Heli Trek,$3600   USD,9 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/3/2021,Male,34,Private Sector/Self Employed,Yes,1300000,No,2016,1000,Bulgaria,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
228,Annapurna Circuit Trek,$1100   USD,19 Days,Moderate-Hard,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/15/2022,Female,34,Private Sector/Self Employed,Yes,1000000,No,2016,1040,Myanmar,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
229,Annapurna Base Camp Trek,$1090   USD,16 Days,Moderate,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/18/2021,Male,34,Private Sector/Self Employed,Yes,1000000,No,2016,1080,Brush,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
230,Ghorepani Poon Hill Trek,$450   USD,10 Days,Easy,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/26/2020,Male,29,Private Sector/Self Employed,Yes,900000,Yes,2016,1120,Belarus,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
231,Upper Mustang Trek,$2100   USD,17 Days,Moderate-Hard,4200m,Hotel/Guesthouse,Jan - May & Sept - Dec,3/13/2022,Non-Binary,31,Government Sector,Yes,1200000,No,2016,1160,Cambodia,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
232,Mardi Himal Trek,$590   USD,9 Days,Easy-Moderate,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/25/2020,Male,28,Private Sector/Self Employed,Yes,1250000,No,2016,1200,Cameroon,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
233,Langtang Valley Trekking,$690   USD,11 Days,Moderate,"4,773m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/16/2022,Transgender,31,Government Sector,Yes,1200000,No,2016,1240,Canada,,,,,,,,
234,Manaslu Circuit Trek,$1190   USD,17 Days,Moderate-Hard,"5,220m",Hotel/Guesthouse,Jan - May & Sept - Dec,2/26/2022,Female,34,Private Sector/Self Employed,Yes,1300000,No,2016,1320,Carbo verde,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
235,Annapurna Base Camp Trek,"
$1,090  USD", 14 Days,Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Dec,7/12/2023,Non-Binary,30,Private Sector/Self Employed,No,550000,No,2016,1400,Central Africa,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
236,Annapurna Base Camp Short Trek,"
$1,090  USD", 11 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,5/10/2021,Non-Binary,26,Private Sector/Self Employed,Yes,1500000,Yes,2016,1440,Sri Lanka,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
237,Instant Annapurna Base Camp Trek,"
$980  USD", 9 Days,Moderate,4230 m,Hotel/Guest Houses,March - May & Sept - Dec.,11/30/2022,Male,30,Private Sector/Self Employed,No,500000,No,2016,1480,Chad,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
238,Annapurna Base Camp Heli Trek,"
$1,750  USD", 9 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,5/7/2022,Non-Binary,29,Private Sector/Self Employed,Yes,600000,No,2016,1520,Chile,,,,,,,,
239,Mardi Himal Trek,"
$850  USD", 9 Days,Easy To Moderate,4200 m,Hotel/Guesthouses,March - May & Sept - Dec,9/4/2022,Non-Binary,26,Private Sector/Self Employed,Yes,1250000,No,2016,1560,China,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
240,Mardi Himal Trekking,"
$850  USD", 8 Days,Easy To Moderate,"4,200 m",Hotel/Guesthouse,March-May & Sept-Dec.,2/4/2022,Transgender,27,Private Sector/Self Employed,No,350000,No,2016,1580,Taiwan,,,,,,,,
241,Classic Annapurna Circuit Trek,"
$1,350  USD", 18 Days,Moderate,5416 m,Hotel/Teahouses,March - May & Sept - Nov,1/27/2021,Female,35,Private Sector/Self Employed,No,800000,No,2016,1700,Columbia,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
242,Annapurna Circuit Trek,"
$1,250  USD", 14 Days,Moderate,5416 m,Hotel/Teahouses,March-May & Sept-Dec,12/18/2022,Male,33,Government Sector,Yes,400000,No,2016,1740,Komoro,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
243,Annapurna Circuit Short Trek,"
$1,250  USD", 12 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov.,7/21/2022,Female,26,Private Sector/Self Employed,Yes,750000,No,2016,1780,Congo,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
244,Annapurna Luxury Trek,"
$1,450  USD", 9 Days,Easy To Moderate,2012m,Hotel/Luxury Lodges,March - May & Setpt - Dec,4/5/2022,Male,27,Government Sector,Yes,500000,No,2016,1781,Zaire,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
245,Annapurna Panorama Trek,"
$860  USD", 9 Days,Easy,3210 m,Hotel/Teahouse,Jan - May & Sept - Dec,5/27/2020,Transgender,28,Private Sector/Self Employed,Yes,1150000,No,2016,1800,Congo Democratic Republic,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
246,Annapurna Tilicho Lake Trek,"
$1,450  USD", 17 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov,4/11/2023,Male,31,Government Sector,No,350000,No,2016,1880,Costa Rica,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
247,Short Annapurna Trek,"
$590  USD", 5 Days,Easy,1990 m,Hotel/Lodges,Jan- May & Sept - Dec,2/29/2020,Transgender,27,Government Sector,Yes,1050000,Yes,2016,1910,Croatia,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
248,Manaslu Circuit Trek,"
$1,450  USD", 15 Days,Strenuous,5106 m,Hotel/Guesthouse,March - May & Sept - Nov,7/2/2021,Male,34,Government Sector,Yes,1300000,No,2016,1920,Cuba,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
249,Manaslu Circuit Trekking,"
$1,380  USD", 14 Days,Moderate,5220 m,Hotel/Teahouses,March - May & Setpt - Nov,8/30/2021,Male,28,Private Sector/Self Employed,Yes,1150000,No,2016,1960,Cyprus,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
250,Tsum Valley with Manaslu Trek,"
$1,850  USD", 20 Days,Strenuous,5220 m,Hotel/Guesthouse,March - May & Sept - Nov,5/15/2023,Transgender,34,Private Sector/Self Employed,Yes,1000000,No,2016,2030,Czech Republic,,,,,,,,
251,Upper Mustang Trek,"
$2,150  USD", 17 Days,Easy To Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Nov.,7/26/2023,Female,28,Government Sector,Yes,300000,No,2016,2040,Benan,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
252,Upper Mustang Trek with Yara,"
$2,300  USD", 18 Days,Easy To Moderate,4200 m,Hotel/Lodges,March - Nov,3/17/2023,Transgender,29,Private Sector/Self Employed,Yes,1350000,No,2016,2080,Denmark,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
253,Upper Mustang Tiji Festival Trek,"
$2,150  USD", 18 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Nov,5/19/2021,Female,28,Private Sector/Self Employed,Yes,1400000,No,2016,2120,Dominica,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
254,Langtang Valley Trek,"
$750  USD", 10 Days,Easy To Moderate,5050 m,Hotel/Teahouse,March-May & Sept-Dec,6/19/2023,Transgender,28,Government Sector,Yes,1200000,No,2016,2140,dominican republic,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
255,Langtang Gosaikunda Trek,"
$1,180  USD", 16 Days,Easy To Moderate,4600m,Hotel/Guesthouse,March - May & Sept - Dec,1/4/2020,Transgender,34,Private Sector/Self Employed,Yes,1500000,Yes,2016,2180,Ecuador,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
256,Tamang Heritage Trek,"
$920  USD", 14 Days,Easy To Moderate,5050 m,Hotel/Guesthouse,March - May & Sept - Dec,2/6/2021,Transgender,34,Government Sector,Yes,1300000,No,2016,2220,El Salvador,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
257,Tamang Heritage Trail,"
$750  USD", 8 Days,Easy,2607 m,Teahouses/Lodges,Jan - May & Sept - Dec,8/24/2020,Male,33,Private Sector/Self Employed,Yes,550000,No,2016,2260,Equatorial guinea,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
258,Helambu Trek,"
$780  USD", 9 Days,Easy,3650 m,Hotel/Guesthouse,Jan - May & Sept- Dec,9/20/2021,Transgender,29,Private Sector/Self Employed,Yes,900000,Yes,2016,2310,Ethiopia,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
259,Annapurna Base Camp Trek  ," $1,499  USD", 11 Days,Moderate+Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/20/2020,Non-Binary,33,Government Sector,Yes,400000,No,2016,2320,Eritria,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
260,Everest Base Camp Trek for Youths  ," $1,750  USD", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/31/2023,Male,26,Private Sector/Self Employed,Yes,1400000,No,2016,2330,Estonia,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
261,Everest Base Camp Short Trek  ," $1,499  USD", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/31/2020,Transgender,28,Private Sector/Self Employed,Yes,1100000,No,2016,2390,Georgia,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
262,Everest Base Camp Trek  ," $1,499  USD", 16 Days,Moderate+Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,10/29/2020,Non-Binary,26,Private Sector/Self Employed,Yes,750000,No,2016,2420,Fiji,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
263,Annapurna Circuit Trek  ," $1,499  USD", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/27/2021,Non-Binary,35,Private Sector/Self Employed,No,800000,No,2016,2460,Finland,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
264,Everest Base Camp Luxury Lodge Trek  ," $1,499  USD", 15 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/2/2023,Non-Binary,29,Private Sector/Self Employed,Yes,350000,No,2016,2500,France,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
265,Everest Base Camp Trek via Gokyo Lakes and Cho La Pass  ," $1,499  USD", 18 days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/19/2022,Transgender,27,Government Sector,Yes,850000,Yes,2016,2620,Jibuti,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
266,Upper Mustang Trek  ," $1,499  USD", 17 Days,Moderate+Demanding,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,10/13/2021,Transgender,31,Government Sector,Yes,400000,No,2016,2660,Gabon,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
267,Everest Advanced Base Camp Trek from Tibet  ," $1,499  USD", 18 Days,Moderate+Demanding,"6,340m",Hotel/Guesthouse,Jan - May & Sept - Dec,2/4/2020,Non-Binary,33,Government Sector,Yes,1100000,No,2016,2700,Gambia,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
268,Gokyo Lakes and Gokyo Ri Trek  ," $1,499  USD", 14 Days,Moderate+Demanding,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/24/2020,Female,34,Private Sector/Self Employed,Yes,500000,No,2016,2750,Palestine,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
269,Mardi Himal Trek  ," $1,499  USD", 10 Days,Moderate,"3,540m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/23/2021,Transgender,27,Private Sector/Self Employed,No,800000,No,2016,2760,Germany,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
270,Manaslu Circuit Trek  ," $1,499  USD", 18 Days,Demanding,"5,160m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/28/2023,Male,34,Government Sector,Yes,1300000,No,2016,2880,Ghana,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
271,Langtang Valley Trek  ," $1,499  USD", 11 Days,Moderate+Demanding,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/2/2023,Male,35,Government Sector,Yes,900000,No,2016,2960,Kiribass,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
272,Annapurna Sanctuary Trek  ," $1,499  USD", 14 Days,Moderate+Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/11/2020,Transgender,28,Private Sector/Self Employed,Yes,700000,No,2016,3000,Greece,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
273,Rara Lake Trek  ," $1,499  USD", 15 Days,Moderate,"3,055m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/1/2020,Non-Binary,34,Private Sector/Self Employed,Yes,1000000,Yes,2016,3080,Grenada,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
274,Everest High Passes Trek  ," $1,499  USD", 20 Days,Demanding,"5,546m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/24/2022,Non-Binary,32,Government Sector,Yes,850000,No,2016,3200,Guatemala,,,,,,,,
275,Kanchenjunga Circuit Trek  ," $1,499  USD", 25 Days,Demanding,"5,143m",Hotel/Guesthouse,Jan - May & Sept - Dec,10/27/2022,Female,26,Private Sector/Self Employed,Yes,1400000,No,2016,3240,Guinea,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
276,Everest View Trek  ," $1,499  USD", 12 Days,Light+Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/6/2020,Female,29,Private Sector/Self Employed,Yes,1050000,No,2016,3280,Gaiana,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
277,Tsum Valley Trek  ," $1,499  USD", 19 Days,Demanding,"6,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/1/2021,Female,31,Private Sector/Self Employed,Yes,950000,Yes,2016,3320,Haiti,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
278,The Royal Trek  ," $1,499  USD", 9 Days,Moderate,"1,730m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/27/2023,Transgender,32,Government Sector,Yes,800000,No,2016,3400,Honduras,,,,,,,,
279,Makalu Base Camp Trek  ," $1,499  USD", 22 Days,Demanding+Challenging,"4,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/29/2021,Transgender,32,Government Sector,Yes,350000,No,2016,3440,China (Hong Kong),Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
280,"Langtang, Gosainkunda and Helambu Trek  "," $1,499  USD", 17 Days,Moderate,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/14/2022,Transgender,32,Government Sector,Yes,800000,Yes,2016,3441,Hong Kong DI,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
281,Nar Phu Valley Trek  ," $1,499  USD", 19 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/10/2023,Male,26,Private Sector/Self Employed,Yes,750000,No,2016,3442,Hong Kong SAR,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
282,Annapurna Circle Trek  ," $1,499  USD", 14 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/23/2021,Female,26,Private Sector/Self Employed,Yes,1400000,No,2016,3480,Hungary,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
283,Everest Kangshung Face Trek  ," $1,499  USD", 21 Days,Demanding+Challenging,"5,320m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/29/2020,Non-Binary,26,Private Sector/Self Employed,Yes,600000,Yes,2016,3520,Iceland,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
